text,source,timestamp,url,label
"A five-year study of a leading pharmaceutical company illustrates how to leap forward when there’s no clear data, no well-worn path, and no guarantee of success.",Google News,2026-01-23T13:05:24Z,https://hbr.org/2026/01/how-one-company-achieved-a-bold-transformation-despite-major-unknowns,Regulation/Policy
Chinese scientist He Jiankui wants to end Alzheimer’s and thinks Silicon Valley is conducting a “Nazi eugenic experiment.”,Google News,2026-01-20T11:00:00Z,https://www.wired.com/story/china-he-jiankui-gene-editing-alzheimers/,Clinical Trials
"Two former employees at cybersecurity firms - one of whom was a ransomware negotiator - have pleaded guilty to carrying out a series of ransomware attacks in 2023. The Department of Justice announced the guilty pleas on Tuesday, saying 40-year-old Ryan Goldbe…",Google News,2025-12-30T18:32:27Z,https://www.theverge.com/news/851467/cybersecurity-employees-plead-guilty-alphv-blackcat-ransomware,Regulation/Policy
"Nvidia plans to invest $1 billion over five years in a new laboratory with Eli Lilly & Co., aiming to speed up the use of artificial intelligence in the...",Google News,2026-01-12T15:27:43Z,https://finance.yahoo.com/video/nvidia-partners-eli-lilly-ai-152743875.html,Marketing/Promotion
Grey market peptides have built a parallel pharmaceutical infrastructure under the thinnest regulatory pretense. The data reveals a cultural contradiction that extends far beyond weight loss.,Google News,2026-01-03T11:26:59Z,https://vectorculture.substack.com/p/not-for-human-consumption,Regulation/Policy
"Behind the hype of GLP-1 medications lies complex science, serious side effects and a pharmaceutical arms race.",Google News,2026-01-09T11:00:00Z,https://www.scientificamerican.com/podcast/episode/the-weight-loss-drug-revolution-from-shots-to-pills-and-the-science-behind/,Side Effects
How the Cyberspace Administration of China inadvertently made a guide to the country’s homegrown AI revolution.,Google News,2026-01-20T11:00:00Z,https://www.wired.com/story/china-ai-boom-algorithm-registry/,Regulation/Policy
All 16 drug companies that inked deals with the Trump administration over the past few months still raised some of their prices for 2026.,Google News,2026-01-16T16:13:22Z,https://www.npr.org/2026/01/16/nx-s1-5678915/trumprx-pharma-drug-price-deals-list-prices,Regulation/Policy
"Trellis builds and deploys computer use agents to get patients access to life-saving medicine. Our computer-use AI agents process billions of dollars worth of therapies annually with patients in all fifty states. We do this by automating document intake, prio…",Google News,2026-01-04T17:01:43Z,https://www.ycombinator.com/companies/trellis-ai/jobs/ngvfeaq-member-of-technical-staff-full-time,Marketing/Promotion
"Emma Stone, Timothée Chalamet and Wunmi Mosaku are among the actors who could be nominated later.",Google News,2026-01-27T00:07:55Z,https://www.bbc.com/news/articles/cjrz09lx91vo,Regulation/Policy
"Wellness is a multi-trillion pound industry which continues to grow, what will be its focus in 2026?",Google News,2026-01-03T01:19:15Z,https://www.bbc.com/news/articles/c7v06q91v31o,Regulation/Policy
These top BofA Securities stock picks are perfect for growth and income investors seeking dependable passive income from reliable companies.,Google News,2026-01-07T13:20:14Z,https://247wallst.com/investing/2026/01/07/bank-of-america-out-with-q1-2026-top-u-s-ideas-dividend-picks/,Marketing/Promotion
Even the biggest future blockbuster drugs can be prematurely abandoned.,Google News,2025-12-27T21:36:22Z,https://www.statnews.com/2024/09/09/glp-1-history-pfizer-john-baxter-jeffrey-flier-calbio-metabio/,Regulation/Policy
"Apparently, the real healthcare fantasy isn't free Band-Aids or shorter ER waits — it's paying doctors what they actually deserve. Mark Cuban stirred things ...",Google News,2026-01-03T21:01:08Z,https://www.yahoo.com/news/articles/mark-cuban-asks-youd-support-210108374.html,Regulation/Policy
"By Joe Cash BEIJING, Jan 21 (Reuters) - Britain and China aim to revive a ""golden era"" business dialogue when Prime Minister Keir Starmer makes a planned...",Google News,2026-01-21T07:21:46Z,https://uk.finance.yahoo.com/news/exclusive-britain-china-revive-golden-072146887.html,Regulation/Policy
"Internal emails show Nvidia CEO Jensen Huang urging teams to to address DGX Spark backlash, highlighting its approach to responding to customers.",Google News,2026-01-09T18:37:13Z,https://www.businessinsider.com/jensen-huang-ceo-criticism-nvidia-dgx-spark-2026-1,Brand Perception
Mexican food scientist Raquel Gómez-Pliego works to improve the nutritional value of foods through microbial fermentation.,Google News,2026-01-12T00:00:00Z,https://www.nature.com/articles/d41586-026-00087-w,Clinical Trials
ETH Zurich researchers have developed a process that can be used on site to render environmental toxins such as DDT and lindane harmless and convert them into valuable chemicals – a breakthrough for the remediation of contaminated sites and a sustainable circ…,Google News,2025-12-30T18:08:32Z,https://ethz.ch/en/news-and-events/eth-news/news/2025/11/electrolysis-can-solve-one-of-our-biggest-contamination-problems.html,Side Effects
"OpenAI is exploring a new business model to share revenue from customer innovations using its AI systems, currently under internal discussion and attracting att",Google News,2026-01-23T23:15:12Z,https://news.aibase.com/news/24859,Marketing/Promotion
"Scientists have found that combining silybin with carvedilol works far better against liver fibrosis than either drug alone. The duo targets the root drivers of liver scarring, sharply reducing collagen buildup and liver damage in experimental models. Importa…",Google News,2026-01-06T06:28:00Z,https://www.sciencedaily.com/releases/2026/01/260106001906.htm,Clinical Trials
These five Dogs of the Dow may be the perfect play for 2026 for growth and income investors wary of volatility and a potential sell-off.,Google News,2026-01-09T14:13:32Z,https://247wallst.com/investing/2026/01/09/betting-on-lower-rates-in-2026-boomers-are-buying-the-small-dogs-of-the-dow/,Marketing/Promotion
Sleep apnea is a debilitating disease that many sufferers don’t even realize they have. Those afflicted with the condition will regularly stop breathing during sleep as the muscles in their …read more,Google News,2026-01-22T18:00:53Z,https://hackaday.com/2026/01/22/new-drug-hopes-to-treat-sleep-apnea-without-masks/,Regulation/Policy
